date;run 1;error 1;run 2;error 2;run 3;error 3;run 4;error 4
13.02.2000;534;0;7307;0;6272;0;8329;0
14.02.2000;544;0;7323;0;6277;0;8348;0
15.02.2000;588;0;7373;1;6302;0;8388;1
16.02.2000;635;0;7373;1;6304;0;8388;1
17.02.2000;669;0;7373;1;6340;1;8388;1
18.02.2000;708;0;7373;1;6340;1;8388;1
19.02.2000;709;0;7373;0;6340;1;8388;0
20.02.2000;729;0;7404;0;6340;0;8400;0
21.02.2000;735;0;7420;0;6378;0;8442;0
22.02.2000;741;0;7469;0;6380;0;8450;0
23.02.2000;748;0;7512;0;6389;0;8486;0
24.02.2000;795;0;7539;0;6433;0;8518;0
25.02.2000;831;0;7565;0;6477;0;8527;0
26.02.2000;868;0;7582;0;6511;0;8559;0
27.02.2000;881;0;7596;0;6530;0;8591;0
28.02.2000;930;0;7599;0;6572;0;8602;0
01.03.2000;948;0;7622;0;6622;0;8615;0
02.03.2000;996;0;7653;0;6669;0;8660;0
03.03.2000;1015;0;7665;0;6685;0;8668;0
04.03.2000;1057;0;7705;0;6732;0;8698;0
05.03.2000;1078;0;7727;0;6764;0;8748;0
06.03.2000;1093;0;7777;0;6796;0;8769;0
07.03.2000;1126;0;7804;0;6843;0;8784;0
08.03.2000;1152;0;7830;0;6859;0;8794;0
09.03.2000;1183;0;7851;0;6893;0;8811;0
10.03.2000;1196;0;7900;0;6900;0;8836;0
11.03.2000;1204;0;7950;0;6911;0;8862;1
12.03.2000;1218;0;7966;0;6932;1;8862;1
13.03.2000;1257;0;7987;1;6932;1;8862;1
14.03.2000;1303;0;7987;1;6932;1;8862;0
15.03.2000;1318;0;7987;1;6932;1;8880;0
16.03.2000;1366;0;7987;0;6932;0;8914;0
17.03.2000;1373;0;8001;0;6954;0;8947;0
18.03.2000;1396;0;8003;0;6957;0;8958;0
19.03.2000;1443;1;8016;0;6981;0;8984;0
20.03.2000;1443;1;8057;0;7023;0;9026;0
21.03.2000;1443;1;8103;0;7050;0;9059;0
22.03.2000;1443;1;8127;0;7072;0;9074;0
23.03.2000;1443;0;8154;0;7116;0;9115;0
24.03.2000;1462;0;8156;0;7130;0;9157;0
25.03.2000;1484;0;8175;0;7146;0;9194;0
26.03.2000;1490;0;8208;0;7170;0;9226;0
27.03.2000;1512;0;8245;0;7197;0;9238;0
28.03.2000;1558;0;8278;0;7213;0;9275;0
29.03.2000;1567;0;8327;0;7250;0;9299;0
30.03.2000;1582;0;8372;0;7265;0;9303;0
31.03.2000;1626;0;8409;0;7314;0;9324;0
01.04.2000;1669;0;8410;0;7349;0;9337;0
02.04.2000;1695;0;8447;0;7399;0;9361;0
03.04.2000;1696;0;8494;0;7422;0;9401;0
04.04.2000;1715;0;8507;0;7467;0;9444;0
05.04.2000;1730;0;8544;0;7501;0;9453;0
06.04.2000;1738;0;8561;0;7537;0;9466;0
07.04.2000;1739;0;8590;0;7554;0;9498;0
08.04.2000;1750;0;8619;0;7591;0;9517;1
09.04.2000;1800;0;8628;1;7637;1;9517;1
10.04.2000;1841;0;8628;1;7637;1;9517;1
11.04.2000;1869;0;8628;1;7637;1;9517;1
12.04.2000;1891;0;8628;0;7637;1;9517;0
13.04.2000;1894;0;8664;0;7637;0;9541;0
14.04.2000;1919;0;8675;0;7683;0;9547;0
15.04.2000;1931;0;8692;0;7695;0;9585;0
16.04.2000;1935;0;8693;0;7730;0;9627;0
17.04.2000;1936;0;8737;0;7779;0;9641;0
18.04.2000;1960;1;8770;0;7825;0;9668;0
19.04.2000;1960;1;8796;0;7827;0;9710;0
20.04.2000;1960;1;8834;0;7872;0;9725;0
21.04.2000;1960;1;8882;0;7890;0;9739;0
22.04.2000;1960;0;8929;0;7913;0;9758;0
23.04.2000;1970;0;8976;0;7937;0;9782;0
24.04.2000;2020;0;8980;0;7980;0;9822;0
25.04.2000;2048;0;9005;0;7989;0;9847;0
26.04.2000;2082;0;9020;0;8018;0;9888;0
27.04.2000;2096;0;9062;0;8051;0;9906;0
28.04.2000;2112;0;9063;0;8101;0;9919;0
29.04.2000;2140;0;9081;0;8144;0;9924;0
30.04.2000;2156;0;9089;0;8153;0;9962;0
01.05.2000;2195;0;9120;0;8177;0;9986;0
02.05.2000;2215;0;9146;0;8186;0;10024;0
03.05.2000;2222;0;9192;0;8190;0;10050;0
04.05.2000;2243;0;9207;0;8229;0;10099;0
05.05.2000;2247;0;9225;1;8247;0;10109;0
06.05.2000;2296;0;9225;1;8281;0;10150;0
07.05.2000;2340;0;9225;1;8293;0;10169;0
08.05.2000;2349;0;9225;1;8312;0;10188;1
09.05.2000;2395;0;9225;0;8328;0;10188;1
10.05.2000;2416;0;9247;0;8359;1;10188;1
11.05.2000;2431;0;9290;0;8359;1;10188;1
12.05.2000;2437;0;9314;0;8359;1;10188;0
13.05.2000;2485;0;9356;0;8359;0;10218;0
14.05.2000;2530;0;9385;0;8378;0;10228;0
15.05.2000;2532;1;9406;0;8425;0;10257;0
16.05.2000;2532;1;9437;0;8437;0;10285;0
17.05.2000;2532;1;9445;0;8438;0;10333;0
18.05.2000;2532;0;9479;0;8460;0;10368;0
19.05.2000;2548;0;9500;0;8465;0;10389;0
20.05.2000;2597;0;9513;0;8513;0;10434;0
21.05.2000;2647;0;9545;0;8537;0;10474;0
22.05.2000;2682;0;9567;0;8558;0;10487;0
23.05.2000;2703;0;9606;0;8593;0;10512;0
24.05.2000;2741;0;9644;0;8602;0;10525;0
25.05.2000;2782;0;9667;0;8621;0;10552;0
26.05.2000;2809;0;9711;0;8657;0;10572;0
27.05.2000;2830;0;9755;0;8692;0;10619;0
28.05.2000;2836;0;9764;0;8719;0;10637;0
29.05.2000;2855;0;9788;0;8726;0;10668;0
