date;run;error4mod;1;2;3;4;5;6;7
13.02.2000;8329;0;0;0;0;0;0;0;0
14.02.2000;8348;0;0;0;0;0;0;0;0
15.02.2000;8388;1;1;0;0;0;0;0;0
16.02.2000;8388;1;1;0;0;0;0;0;0
17.02.2000;8388;1;1;0;0;0;0;0;0
18.02.2000;8388;1;1;0;0;0;0;0;0
19.02.2000;8388;0;0;0;0;0;0;0;0
20.02.2000;8400;0;0;0;0;0;0;0;0
21.02.2000;8442;0;0;0;0;0;0;0;0
22.02.2000;8450;0;0;0;0;0;0;0;0
23.02.2000;8486;0;0;0;0;0;0;0;0
24.02.2000;8518;0;0;0;0;0;0;0;0
25.02.2000;8527;0;0;0;0;0;0;0;0
26.02.2000;8559;0;0;0;0;0;0;0;0
27.02.2000;8591;0;0;0;0;0;0;0;0
28.02.2000;8602;0;0;0;0;0;0;0;0
01.03.2000;8615;0;0;0;0;0;0;0;0
02.03.2000;8660;0;0;0;0;0;0;0;0
03.03.2000;8668;0;0;0;0;0;0;0;0
04.03.2000;8698;0;0;0;0;0;0;0;0
05.03.2000;8748;0;0;0;0;0;0;0;0
06.03.2000;8769;0;0;0;0;0;0;0;0
07.03.2000;8784;0;0;0;0;0;0;0;0
08.03.2000;8794;0;0;0;0;0;0;0;0
09.03.2000;8811;0;0;0;0;0;0;0;0
10.03.2000;8836;0;0;0;0;0;0;0;0
11.03.2000;8862;1;1;0;0;0;0;0;0
12.03.2000;8862;1;1;0;0;0;0;0;0
13.03.2000;8862;1;1;0;0;0;0;0;0
14.03.2000;8862;0;0;0;0;0;0;0;0
15.03.2000;8880;0;0;0;0;0;0;0;0
16.03.2000;8914;0;0;0;0;0;0;0;0
17.03.2000;8947;0;0;0;0;0;0;0;0
18.03.2000;8958;0;0;0;0;0;0;0;0
19.03.2000;8984;0;0;0;0;0;0;0;0
20.03.2000;9026;0;0;0;0;0;0;0;0
21.03.2000;9059;0;0;0;0;0;0;0;0
22.03.2000;9074;0;0;0;0;0;0;0;0
23.03.2000;9115;0;0;0;0;0;0;0;0
24.03.2000;9157;0;0;0;0;0;0;0;0
25.03.2000;9194;0;0;0;0;0;0;0;0
26.03.2000;9226;0;0;0;0;0;0;0;0
27.03.2000;9238;0;0;0;0;0;0;0;0
28.03.2000;9275;0;0;0;0;0;0;0;0
29.03.2000;9299;0;0;0;0;0;0;0;0
30.03.2000;9303;0;0;0;0;0;0;0;0
31.03.2000;9324;0;0;0;0;0;0;0;0
01.04.2000;9337;0;0;0;0;0;0;0;0
02.04.2000;9361;0;0;0;0;0;0;0;0
03.04.2000;9401;0;0;0;0;0;0;0;0
04.04.2000;9444;0;0;0;0;0;0;0;0
05.04.2000;9453;0;0;0;0;0;0;0;0
06.04.2000;9466;0;0;0;0;0;0;0;0
07.04.2000;9498;0;0;0;0;0;0;0;0
08.04.2000;9517;1;1;0;0;0;0;0;0
09.04.2000;9517;1;1;0;0;0;0;0;0
10.04.2000;9517;1;1;0;0;0;0;0;0
11.04.2000;9517;1;1;0;0;0;0;0;0
12.04.2000;9517;0;0;0;0;0;0;0;0
13.04.2000;9541;0;0;0;0;0;0;0;0
